congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
115,Senate,41704,41,0,AL,200,,,"STRANGE, Luther  Johnson, III",S001202,1953,,0.648,0.178,-3.18248,0.97446,123,0,1
115,Senate,49700,41,0,AL,200,,,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-0.56654,0.97062,19,0,1
115,Senate,94659,41,0,AL,200,,,"SHELBY, Richard C.",S000320,1934,,0.433,0.543,-2.28802,0.98784,187,0,1
115,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957,,0.207,-0.29,-22.09292,0.88569,182,5,1
115,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964,,0.463,0.139,-5.55684,0.9696,180,2,1
115,Senate,15039,61,0,AZ,200,,,"McCAIN, John Sidney, III",M000303,1936,,0.381,-0.624,-27.49581,0.85305,173,11,1
115,Senate,20100,61,0,AZ,200,,,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-6.44244,0.96465,179,2,1
115,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.402,0.247,-4.11367,0.97836,188,1,1
115,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.614,0.127,-8.78448,0.95435,188,4,1
115,Senate,41701,71,0,CA,100,,,"HARRIS, Kamala Devi",H001075,1964,,-0.666,0.215,-14.17952,0.92698,187,7,1
115,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,,-0.263,-0.169,-15.00878,0.91255,164,6,1
115,Senate,21112,62,0,CO,200,,,"GARDNER, Cory",G000562,1974,,0.456,0.002,-8.61671,0.9552,188,3,1
115,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964,,-0.208,-0.108,-28.07461,0.86128,188,12,1
115,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973,,-0.31,-0.189,-21.81422,0.88934,186,10,1
115,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946,,-0.409,-0.084,-32.72605,0.83945,187,17,1
115,Senate,15015,11,0,DE,100,,,"CARPER, Thomas Richard",C000174,1947,,-0.174,-0.22,-27.8972,0.85861,183,12,1
115,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963,,-0.278,-0.236,-27.07533,0.85889,178,10,1
115,Senate,14651,43,0,FL,100,,,"NELSON, Clarence William (Bill)",N000032,1942,,-0.192,0.342,-26.6931,0.86358,182,8,1
115,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971,,0.589,-0.325,-8.35939,0.95335,175,4,1
115,Senate,29909,44,0,GA,200,,,"ISAKSON, Johnny",I000055,1944,,0.404,-0.015,-3.10357,0.97853,143,1,1
115,Senate,41501,44,0,GA,200,,,"PERDUE, David Alfred, Jr.",P000612,1949,,0.639,-0.258,-9.25781,0.9517,187,5,1
115,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie",H001042,1947,,-0.489,-0.09,-23.67229,0.87804,182,11,1
115,Senate,41112,82,0,HI,100,,,"SCHATZ, Brian Emanuel",S001194,1972,,-0.404,-0.097,-33.4979,0.83438,185,12,1
115,Senate,29345,63,0,ID,200,,,"CRAPO, Michael Dean",C000880,1951,,0.507,0.275,-5.05679,0.97346,188,3,1
115,Senate,40902,63,0,ID,200,,,"RISCH, James",R000584,1943,,0.634,0.568,-7.58217,0.96047,188,5,1
115,Senate,15021,21,0,IL,100,,,"DURBIN, Richard Joseph",D000563,1944,,-0.364,-0.362,-24.36192,0.87342,180,9,1
115,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968,,-0.304,0.067,-41.14872,0.80248,187,19,1
115,Senate,20717,22,0,IN,100,,,"DONNELLY, Joe",D000607,1955,,-0.119,0.429,-26.11202,0.86702,183,8,1
115,Senate,21133,22,0,IN,200,,,"YOUNG, Todd",Y000064,1972,,0.488,0.062,-15.81001,0.91851,186,3,1
115,Senate,14226,31,0,IA,200,,,"GRASSLEY, Charles Ernest",G000386,1933,,0.341,-0.071,-13.16531,0.93237,188,6,1
115,Senate,41502,31,0,IA,200,,,"ERNST, Joni",E000295,1970,,0.522,-0.007,-7.26821,0.96188,187,4,1
115,Senate,14852,32,0,KS,200,,,"ROBERTS, Charles Patrick (Pat)",R000307,1936,,0.415,-0.095,-4.11211,0.97836,188,1,1
115,Senate,29722,32,0,KS,200,,,"MORAN, Jerry",M000934,1954,,0.413,0.263,-12.9152,0.93076,180,6,1
115,Senate,14921,51,0,KY,200,,,"McCONNELL, Addison Mitchell (Mitch)",M000355,1942,,0.404,0.004,-8.05151,0.95786,187,2,1
115,Senate,41104,51,0,KY,200,,,"PAUL, Rand",P000603,1963,,0.875,-0.484,-38.00209,0.8134,184,16,1
115,Senate,20919,45,0,LA,200,,,"CASSIDY, Bill",C001075,1957,,0.452,-0.101,-5.31258,0.97199,187,2,1
115,Senate,41703,45,0,LA,200,,,"KENNEDY, John Neely",K000393,1951,,0.677,0.314,-6.45245,0.96626,188,2,1
115,Senate,41300,2,0,ME,328,,,"KING, Angus Stanley, Jr.",K000383,1944,,-0.148,-0.247,-38.94962,0.81287,188,25,1
