congress,chamber,rollnumber,icpsr,cast_code
115,Senate,1,14009,1
115,Senate,1,14226,1
115,Senate,1,14307,6
115,Senate,1,14435,6
115,Senate,1,14503,1
115,Senate,1,14651,6
115,Senate,1,14852,1
115,Senate,1,14858,6
115,Senate,1,14871,6
115,Senate,1,14921,1
115,Senate,1,15015,6
115,Senate,1,15021,6
115,Senate,1,15039,1
115,Senate,1,15408,6
115,Senate,1,15424,1
115,Senate,1,20100,1
115,Senate,1,20101,1
115,Senate,1,20146,1
115,Senate,1,20330,6
115,Senate,1,20707,6
115,Senate,1,20713,6
115,Senate,1,20717,6
115,Senate,1,20730,1
115,Senate,1,20735,6
115,Senate,1,20919,1
115,Senate,1,20923,6
115,Senate,1,20930,6
115,Senate,1,21112,1
115,Senate,1,21133,1
115,Senate,1,21166,1
115,Senate,1,21173,1
115,Senate,1,21301,1
115,Senate,1,21325,6
115,Senate,1,21338,1
115,Senate,1,29142,6
115,Senate,1,29147,6
115,Senate,1,29345,1
115,Senate,1,29373,6
115,Senate,1,29386,1
115,Senate,1,29389,6
115,Senate,1,29534,1
115,Senate,1,29548,1
115,Senate,1,29566,1
115,Senate,1,29722,1
115,Senate,1,29732,6
115,Senate,1,29735,1
115,Senate,1,29754,1
115,Senate,1,29909,1
115,Senate,1,29924,6
115,Senate,1,29935,1
115,Senate,1,29940,6
115,Senate,1,39310,6
115,Senate,1,40300,1
115,Senate,1,40304,1
115,Senate,1,40305,1
115,Senate,1,40700,6
115,Senate,1,40701,6
115,Senate,1,40702,6
115,Senate,1,40703,6
115,Senate,1,40704,6
115,Senate,1,40705,1
115,Senate,1,40707,1
115,Senate,1,40902,1
115,Senate,1,40904,6
115,Senate,1,40906,6
115,Senate,1,40908,6
115,Senate,1,40909,6
115,Senate,1,40910,6
115,Senate,1,40915,6
115,Senate,1,40916,6
115,Senate,1,41101,6
115,Senate,1,41102,1
115,Senate,1,41104,6
115,Senate,1,41107,1
115,Senate,1,41110,1
115,Senate,1,41111,1
115,Senate,1,41112,6
115,Senate,1,41300,6
115,Senate,1,41301,6
115,Senate,1,41302,1
115,Senate,1,41303,6
115,Senate,1,41304,1
115,Senate,1,41305,6
115,Senate,1,41308,6
115,Senate,1,41500,1
115,Senate,1,41501,1
115,Senate,1,41502,1
115,Senate,1,41503,1
115,Senate,1,41504,1
115,Senate,1,41505,1
115,Senate,1,41700,6
115,Senate,1,41701,6
115,Senate,1,41702,6
115,Senate,1,41703,1
115,Senate,1,49300,9
115,Senate,1,49308,6
115,Senate,1,49700,1
115,Senate,1,49703,1
115,Senate,1,49706,1
115,Senate,1,94659,1
115,Senate,2,14009,6
115,Senate,2,14226,6
115,Senate,2,14307,1
115,Senate,2,14435,1
115,Senate,2,14503,6
115,Senate,2,14651,1
115,Senate,2,14852,6
115,Senate,2,14858,1
115,Senate,2,14871,1
115,Senate,2,14921,6
115,Senate,2,15015,1
115,Senate,2,15021,1
115,Senate,2,15039,6
115,Senate,2,15408,1
115,Senate,2,15424,6
115,Senate,2,20100,6
115,Senate,2,20101,6
115,Senate,2,20146,6
115,Senate,2,20330,1
115,Senate,2,20707,1
115,Senate,2,20713,1
115,Senate,2,20717,1
115,Senate,2,20730,6
115,Senate,2,20735,1
115,Senate,2,20919,6
115,Senate,2,20923,1
115,Senate,2,20930,1
115,Senate,2,21112,6
115,Senate,2,21133,6
115,Senate,2,21166,6
115,Senate,2,21173,6
115,Senate,2,21301,6
115,Senate,2,21325,1
115,Senate,2,21338,6
115,Senate,2,29142,1
115,Senate,2,29147,1
115,Senate,2,29345,6
115,Senate,2,29373,1
115,Senate,2,29386,6
115,Senate,2,29389,1
115,Senate,2,29534,6
115,Senate,2,29548,6
115,Senate,2,29566,6
115,Senate,2,29722,6
115,Senate,2,29732,1
115,Senate,2,29735,6
115,Senate,2,29754,6
115,Senate,2,29909,6
115,Senate,2,29924,1
115,Senate,2,29935,6
115,Senate,2,29940,1
115,Senate,2,39310,1
115,Senate,2,40300,6
115,Senate,2,40304,6
115,Senate,2,40305,6
115,Senate,2,40700,1
115,Senate,2,40701,1
115,Senate,2,40702,1
115,Senate,2,40703,1
115,Senate,2,40704,1
115,Senate,2,40705,6
115,Senate,2,40707,6
115,Senate,2,40902,6
115,Senate,2,40904,1
115,Senate,2,40906,1
115,Senate,2,40908,1
115,Senate,2,40909,1
115,Senate,2,40910,1
115,Senate,2,40915,1
115,Senate,2,40916,1
115,Senate,2,41101,1
115,Senate,2,41102,6
115,Senate,2,41104,6
115,Senate,2,41107,6
115,Senate,2,41110,6
115,Senate,2,41111,6
115,Senate,2,41112,1
115,Senate,2,41300,1
115,Senate,2,41301,1
115,Senate,2,41302,6
115,Senate,2,41303,1
115,Senate,2,41304,6
115,Senate,2,41305,1
115,Senate,2,41308,1
115,Senate,2,41500,6
115,Senate,2,41501,6
115,Senate,2,41502,6
115,Senate,2,41503,6
115,Senate,2,41504,6
115,Senate,2,41505,6
115,Senate,2,41700,1
115,Senate,2,41701,1
115,Senate,2,41702,1
115,Senate,2,41703,6
115,Senate,2,49300,1
115,Senate,2,49308,1
115,Senate,2,49700,6
115,Senate,2,49703,6
115,Senate,2,49706,6
115,Senate,2,94659,6
115,Senate,3,14009,6
115,Senate,3,14226,6
115,Senate,3,14307,6
115,Senate,3,14435,6
115,Senate,3,14503,6
115,Senate,3,14651,6
115,Senate,3,14852,6
115,Senate,3,14858,6
115,Senate,3,14871,6
115,Senate,3,14921,6
115,Senate,3,15015,6
115,Senate,3,15021,6
115,Senate,3,15039,6
115,Senate,3,15408,6
115,Senate,3,15424,6
115,Senate,3,20100,1
115,Senate,3,20101,6
115,Senate,3,20146,6
115,Senate,3,20330,6
115,Senate,3,20707,6
115,Senate,3,20713,6
115,Senate,3,20717,6
115,Senate,3,20730,6
115,Senate,3,20735,6
115,Senate,3,20919,6
115,Senate,3,20923,6
115,Senate,3,20930,6
115,Senate,3,21112,6
115,Senate,3,21133,6
115,Senate,3,21166,1
115,Senate,3,21173,1
115,Senate,3,21301,6
115,Senate,3,21325,6
115,Senate,3,21338,1
115,Senate,3,29142,6
115,Senate,3,29147,6
115,Senate,3,29345,1
115,Senate,3,29373,6
115,Senate,3,29386,6
115,Senate,3,29389,6
115,Senate,3,29534,6
115,Senate,3,29548,6
115,Senate,3,29566,9
115,Senate,3,29722,1
115,Senate,3,29732,6
115,Senate,3,29735,9
115,Senate,3,29754,6
115,Senate,3,29909,6
115,Senate,3,29924,6
115,Senate,3,29935,1
115,Senate,3,29940,6
115,Senate,3,39310,6
115,Senate,3,40300,6
115,Senate,3,40304,6
115,Senate,3,40305,6
115,Senate,3,40700,6
115,Senate,3,40701,6
115,Senate,3,40702,6
115,Senate,3,40703,6
115,Senate,3,40704,6
115,Senate,3,40705,6
115,Senate,3,40707,6
115,Senate,3,40902,1
115,Senate,3,40904,6
115,Senate,3,40906,6
115,Senate,3,40908,6
115,Senate,3,40909,6
115,Senate,3,40910,6
115,Senate,3,40915,6
115,Senate,3,40916,6
115,Senate,3,41101,6
115,Senate,3,41102,1
115,Senate,3,41104,1
115,Senate,3,41107,6
115,Senate,3,41110,1
115,Senate,3,41111,6
115,Senate,3,41112,6
115,Senate,3,41300,6
115,Senate,3,41301,6
115,Senate,3,41302,6
115,Senate,3,41303,6
115,Senate,3,41304,1
115,Senate,3,41305,6
115,Senate,3,41308,6
115,Senate,3,41500,6
115,Senate,3,41501,6
115,Senate,3,41502,6
115,Senate,3,41503,1
115,Senate,3,41504,9
115,Senate,3,41505,6
115,Senate,3,41700,6
115,Senate,3,41701,6
115,Senate,3,41702,6
115,Senate,3,41703,1
115,Senate,3,49300,6
115,Senate,3,49308,6
115,Senate,3,49700,6
115,Senate,3,49703,6
115,Senate,3,49706,6
115,Senate,3,94659,6
115,Senate,4,14009,6
115,Senate,4,14226,6
115,Senate,4,14307,1
115,Senate,4,14435,1
115,Senate,4,14503,6
115,Senate,4,14651,1
115,Senate,4,14852,6
115,Senate,4,14858,1
115,Senate,4,14871,1
115,Senate,4,14921,6
115,Senate,4,15015,9
115,Senate,4,15021,1
115,Senate,4,15039,6
115,Senate,4,15408,1
115,Senate,4,15424,6
115,Senate,4,20100,6
115,Senate,4,20101,6
115,Senate,4,20146,6
115,Senate,4,20330,1
115,Senate,4,20707,1
115,Senate,4,20713,1
115,Senate,4,20717,1
115,Senate,4,20730,1
115,Senate,4,20735,1
115,Senate,4,20919,6
115,Senate,4,20923,1
115,Senate,4,20930,1
115,Senate,4,21112,6
115,Senate,4,21133,6
115,Senate,4,21166,6
115,Senate,4,21173,6
115,Senate,4,21301,6
115,Senate,4,21325,1
115,Senate,4,21338,6
115,Senate,4,29142,1
115,Senate,4,29147,1
115,Senate,4,29345,6
115,Senate,4,29373,1
115,Senate,4,29386,6
115,Senate,4,29389,1
115,Senate,4,29534,6
115,Senate,4,29548,6
115,Senate,4,29566,9
115,Senate,4,29722,6
115,Senate,4,29732,1
115,Senate,4,29735,9
115,Senate,4,29754,6
115,Senate,4,29909,6
115,Senate,4,29924,1
115,Senate,4,29935,6
115,Senate,4,29940,1
115,Senate,4,39310,1
115,Senate,4,40300,6
115,Senate,4,40304,6
115,Senate,4,40305,6
115,Senate,4,40700,1
115,Senate,4,40701,1
115,Senate,4,40702,1
115,Senate,4,40703,1
115,Senate,4,40704,1
115,Senate,4,40705,6
115,Senate,4,40707,6
115,Senate,4,40902,6
115,Senate,4,40904,1
115,Senate,4,40906,1
115,Senate,4,40908,1
115,Senate,4,40909,1
115,Senate,4,40910,1
115,Senate,4,40915,1
115,Senate,4,40916,1
115,Senate,4,41101,1
115,Senate,4,41102,6
115,Senate,4,41104,6
115,Senate,4,41107,6
115,Senate,4,41110,6
115,Senate,4,41111,6
115,Senate,4,41112,1
115,Senate,4,41300,1
115,Senate,4,41301,1
115,Senate,4,41302,6
115,Senate,4,41303,1
115,Senate,4,41304,6
115,Senate,4,41305,1
115,Senate,4,41308,1
115,Senate,4,41500,6
115,Senate,4,41501,6
115,Senate,4,41502,6
115,Senate,4,41503,6
115,Senate,4,41504,9
115,Senate,4,41505,6
115,Senate,4,41700,1
115,Senate,4,41701,1
115,Senate,4,41702,1
115,Senate,4,41703,6
115,Senate,4,49300,1
115,Senate,4,49308,1
115,Senate,4,49700,6
115,Senate,4,49703,1
115,Senate,4,49706,6
115,Senate,4,94659,6
115,Senate,5,14009,6
115,Senate,5,14226,6
115,Senate,5,14307,6
115,Senate,5,14435,6
115,Senate,5,14503,6
115,Senate,5,14651,6
